ages,all_photos,amenities,any_pets,available,available_date,balcony_roof_terrace,bills_included,broadband_included,contact_info,couples_allowed,deposit,deposit(room_1),deposit(room_2),deposit(room_3),deposit(room_4),deposit(room_5),description,disabled_access,first_photo_url,furnishings,garage,garden_patio,gender,latitude,living_room,location,longitude,management_company,max_age,maximum_term,min_age,minimum_term,"number
________
________
__________housemates","number
________flatmates",occupation,parking,pets_allowed,photo_count,price,price_pcm,property_type,references,room_type,security_deposit,smalloweding_allowed,smoker,title,total_number_rooms,url
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/19/97190061.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97190069.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97190070.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97190064.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97190067.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97190103.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97190066.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97190068.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97190062.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97190102.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97190063.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/98/96987188.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/09/97096508.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/92/10/92106080.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/88/96889087.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/65/96658385.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/02/97024762.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/20/97202927.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/20/97200441.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/92/96920408.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97192110.jpg, https://assets.spareroom.co.uk/img/spareroom/v4/icons/profilepic_unisex.gif, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png",,No,01 Oct 2025,,No,No,No,Free tocontact,No,,,,,,,"Flat
        
        to rentClapham JunctionSW11Area infoClapham Junction StationTube map0-5 minutes walk awayView on map£3,300 pcm(whole property)This ad is for a 3 bed flat
        
          and is not available by the room.Why notbuddy up?Find potential buddy ups to share this property withFind...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/19/97190061.jpg,Furnished,No,No,,51.4668451,own,Clapham Junction,-0.1706085,UK London Flat,,,,12 months,,,Available to all,No,No,24,,,Room,Yes,,"£3,300.00",No,No,"Stunning 3-bed FLAT, 5 min From the Station!!!",,https://www.spareroom.co.uk/flatshare/london/clapham_junction/17935641
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/40/95404509.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404510.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404516.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404513.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404519.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404530.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404529.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Parking, Garden, Balcony, Bills Included, Furnished",No,01 Sep 2025,,No,Some,Yes,Free tocontact,Yes,1083,,,,,,"Flat shareBattersea parkSW11Area infoBattersea Park StationTube map5-10 minutes walk awayView on map£1,083 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit£1,083.00Bills included?SomeAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/ro...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/40/95404509.jpg,Furnished,No,No,"1 Female, 1 Male",51.4733384,No,Battersea Park,-0.1540054,UK London Flat,,,,12 months,,2,Available to all,No,No,8,1083,"£1,083 pcm",Room,Yes,double,,No,No,Double room in a 3-bed Flat in Battersea Park!,3,https://www.spareroom.co.uk/flatshare/london/battersea_park/17723035
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/02/97020359.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/02/97020360.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/02/97020361.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/02/97020368.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/02/97020375.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/02/97020376.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/02/97020378.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/02/97020380.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/02/97020381.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/02/97020382.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Bills Included, Furnished",No,01 Sep 2025,,No,Some,Yes,Free tocontact,No,,£910.00,£910.00,,,,Flat shareBattersea parkSW11Area infoBattersea Park StationTube map0-5 minutes walk awayView on map£910 pcmdouble£910 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit(Room 1)£910.00Deposit(Room 2)£910.00Bills included?SomeAmenitiesFurnishingsFurnishedPa...,No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/02/97020359.jpg,Furnished,No,No,"1 Female, 1 Male",51.4752704,No,Battersea Park,-0.1493482,UK London Flat,,,,12 months,,2,Available to all,No,No,11,910,£910 pcm,Room,Yes,double,,Yes,No,2 nice rooms in Battersea Park from Sept. 1st!!!!,3,https://www.spareroom.co.uk/flatshare/london/battersea_park/17914842
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/99/96994472.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96994473.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96994474.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96994481.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96994482.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96994484.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96994487.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96994488.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Parking, Garden, Balcony, Bills Included, Furnished",No,01 Sep 2025,,No,Some,Yes,Free tocontact,No,1126,,,,,,"Flat sharePaddingtonW2Area infoPaddington StationTube map5-10 minutes walk awayView on map£1,126 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit£1,126.00Bills included?SomeAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/roof terrace...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/99/96994472.jpg,Furnished,No,No,2 Males,51.5210331,shared,Paddington,-0.1797389,UK London Flat,,,,12 months,,2,Available to all,No,No,10,1126,"£1,126 pcm",Room,Yes,double,,No,No,Amazing room in Paddington!!!Av. from September,3,https://www.spareroom.co.uk/flatshare/london/paddington/17911623
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/91/96912288.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/91/96912287.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/86/15/86158337.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/86/15/86158338.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/86/15/86158339.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/86/15/86158345.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Parking, Garden, Balcony, Bills Included, Furnished",No,01 Sep 2025,,No,Some,Yes,Free tocontact,No,910,,,,,,Flat shareClapham JunctionSW11Area infoClapham Junction StationTube map0-5 minutes walk awayView on map£910 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit£910.00Bills included?SomeAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/roo...,No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/91/96912288.jpg,Furnished,No,No,2 Males,51.4682052250889,No,Clapham Junction,-0.167952306462288,UK London Flat,,,,12 months,,2,Available to all,No,No,8,910,£910 pcm,Flat,Yes,double,,No,No,Discover Your Perfect Clapham Junction Home,3,https://www.spareroom.co.uk/flatshare/london/clapham_junction/16469076
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/99/96990758.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990759.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990766.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990769.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990781.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990782.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990789.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990792.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990793.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990794.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990799.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990801.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990813.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990814.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990815.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990818.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990829.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96990833.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png",Garden,No,01 Oct 2025,now,No,Some,Yes,Free tocontact,No,,"£1,200.00","£1,200.00","£1,083.00",,,"Flat shareBattersea parkSW11Area infoBattersea Park StationTube map0-5 minutes walk awayView on map£1,200 pcmdouble£1,200 pcmdouble£1,083 pcmdouble£1,400 pcm(NOW LET)AvailabilityAvailable01 Oct 2025Minimum term12 monthsMaximum termNoneExtra costDeposit(Room 1)£1,200.00Deposit(Room 2)£1,200.00Deposit...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/99/96990758.jpg,Furnished,No,Yes,,51.4754019,shared,Battersea Park,-0.1548438,UK London Flat,,,,12 months,,,Available to all,No,No,19,1200,"£1,200 pcm",Room,Yes,double,,No,No,"Amazing Victorian House, LIving & Garden!! AV. 1/1",,https://www.spareroom.co.uk/flatshare/london/battersea_park/17911191
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/99/96992847.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992848.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992852.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992846.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992851.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96995246.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96995244.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992857.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992858.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992859.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992860.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992862.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992864.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992873.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992874.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992877.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992889.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png",Bills Included,No,01 Sep 2025,,No,Some,Yes,Free tocontact,No,,£996.00,£996.00,,,,Flat shareClapham JunctionSW11Area infoClapham Junction StationTube map5-10 minutes walk awayView on map£996 pcmdouble£996 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit(Room 1)£996.00Deposit(Room 2)£996.00Bills included?SomeAmenitiesFurnishingsFurnis...,No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/99/96992847.jpg,Furnished,No,No,2 Females,51.4646287,shared,Clapham Junction,-0.1766863,UK London Flat,,,,12 months,,2,Available to all,No,No,19,996,£996 pcm,Room,Yes,double,,No,No,2 Double Rooms in Clapham Junction! Av. Sept. 1st,4,https://www.spareroom.co.uk/flatshare/london/clapham_junction/17911446
25,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/91/96911638.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/91/96911642.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97004096.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/91/96911653.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/91/96911655.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/91/96911661.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/91/96911663.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/91/96911668.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/91/96911674.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png",,No,01 Sep 2025,,No,Some,Yes,Free tocontact,No,,"£1,083.00","£1,100.00","£1,100.00",,,"Flat shareClapham JunctionSW11Area infoClapham Junction StationTube map0-5 minutes walk awayView on map£1,083 pcmdouble£1,100 pcmdouble£1,100 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit(Room 1)£1,083.00Deposit(Room 2)£1,100.00Deposit(Room 3)£1,100....",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/91/96911638.jpg,Furnished,No,No,2 Males,51.468689,No,Clapham Junction,-0.1729393,UK London Flat,40,,18,12 months,,2,Available to all,No,No,11,1083,"£1,083 pcm",Room,Yes,double,,No,No,3 Bright Rooms in Clapham J. I 1st of September,4,https://www.spareroom.co.uk/flatshare/london/clapham_junction/17901476
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/99/96991639.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96991647.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992309.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992308.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992310.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992317.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992318.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96992319.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96991821.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96991822.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96991844.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96991825.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/99/96991823.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png",,No,01 Sep 2025,now,No,Some,Yes,Free tocontact,No,,"£1,083.00","£1,083.00","£1,083.00",,,"Flat shareClapham JunctionSW11Area infoClapham Junction StationTube map0-5 minutes walk awayView on map£1,083 pcmdouble£1,083 pcmdouble£1,083 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit(Room 1)£1,083.00Deposit(Room 2)£1,083.00Deposit(Room 3)£1,083....",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/99/96991639.jpg,Furnished,No,No,,51.4676281,No,Clapham Junction,-0.172377,UK London Flat,,,,12 months,,,Available to all,No,No,15,1083,"£1,083 pcm",Room,Yes,double,,No,No,"3 double rooms, 5 min from CJ Station!! Av. NOW!!!",,https://www.spareroom.co.uk/flatshare/london/clapham_junction/17911315
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/03/97039376.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97039368.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97039370.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97039380.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97039382.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97039383.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97039384.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97039387.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Parking, Garden, Balcony, Bills Included, Furnished",No,01 Sep 2025,,No,Some,Yes,Free tocontact,No,1083,,,,,,"Flat shareBatterseaSW11Area infoClapham Junction StationTube map15-20 minutes walk awayView on map£1,083 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit£1,083.00Bills included?SomeAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/roof...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/03/97039376.jpg,Furnished,No,No,2 Females,51.4774514,No,Battersea,-0.1685572,UK London Flat,,,,12 months,,2,Available to all,No,No,10,1083,"£1,083 pcm",Room,Yes,double,,Yes,No,Amazing double room - Battersea Bridge. AV. Soon,3,https://www.spareroom.co.uk/flatshare/london/battersea/17917209
,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/86/96866849.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/86/96866933.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/86/96866932.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/86/96866935.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/86/96866936.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/86/96866939.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/86/96866940.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/86/96862710.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/69/74/69741784.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png",,No,28 Aug 2025,now,No,Yes,Yes,Free tocontact,No,,"£1,269.23",,"£1,211.53",,,"House shareCanada WaterSE16Area infoCanada Water StationTube map10-15 minutes walk awayView on map£1,100 pcmdouble£1,100 pcm(NOW LET)£1,050 pcmdouble£1,300 pcm(NOW LET)AvailabilityAvailable28 Aug 2025Minimum term12 monthsMaximum termNoneExtra costDeposit(Room 1)£1,269.23Deposit(Room 3)£1,211.53Bills...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/86/96866849.jpg,Furnished,No,Yes,,51.496723,shared,Canada Water,-0.0336402,JD Corp Management,,,,12 months,,,Not suitable for students,No,No,11,1100,"£1,100 pcm",Room,Yes,double,,No,No,Double Bedrooms Available in Surrey Quays,,https://www.spareroom.co.uk/flatshare/london/canada_water/17895645
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/82/96821669.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821683.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821657.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821658.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821670.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821674.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821672.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821694.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821675.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821680.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821682.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/69/74/69741784.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/DLR_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Parking, Garden, Balcony, Bills Included, Furnished",No,Now,now,Yes,Yes,Yes,Free tocontact,No,951,,,,,,House shareWoolwichSE18Area infoWoolwich Arsenal StationTube map5-10 minutes walk awayView on map£825 pcmdoubleAvailabilityAvailableNowMinimum term12 monthsMaximum termNoneExtra costDeposit£951.92Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYesBalcony/roof terraceYesDi...,No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/82/96821669.jpg,Furnished,No,Yes,,51.4851985,No,Woolwich,0.0685323,JD Corp Management,,,,12 months,6,,Available to all,No,No,14,825,£825 pcm,Room,Yes,double,,Yes,No,Great Sized Room in 6 Bedroom HMO,2,https://www.spareroom.co.uk/flatshare/london/woolwich/17890590
,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054446.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054447.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054448.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054449.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054451.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054452.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054461.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054475.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054476.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054481.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054483.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/69/74/69741784.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/DLR_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Parking, Garden, Bills Included, Furnished",No,25 Sep 2025,,No,Yes,Yes,Free tocontact,Yes,1557,,,,,,"House shareWoolwichSE18Area infoWoolwich Arsenal StationTube map10-15 minutes walk awayView on map£1,350 pcmdouble En suiteAvailabilityAvailable25 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit£1,557.69Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYesBal...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97054446.jpg,Furnished,No,Yes,,51.4832455,No,Woolwich,0.0726928,JD Corp Management,,,,12 months,1,,Available to all,No,No,14,1350,"£1,350 pcm",Room,Yes,double En suite,,Yes,No,Massive En-Suite Double Room with Garden Access,2,https://www.spareroom.co.uk/flatshare/london/woolwich/17918990
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/05/97056800.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/69/74/69741784.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/DLR_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png",Furnished,No,02 Sep 2025,,No,No,No,Free tocontact,No,,,,,,,"Flat
        
        to rentWoolwichSE18Area infoWoolwich Arsenal StationTube map0-5 minutes walk awayView on map£1,850 pcm(whole property)This ad is for a 1 bed flatAvailabilityAvailable02 Sep 2025Minimum term12 monthsMaximum termNoneExtra costSecurity deposit£2,134.00AmenitiesFurnishingsFurnished...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/05/97056800.jpg,Furnished,No,No,,51.4915509,own,Woolwich,0.0713938,JD Corp Management,,,,12 months,,,Available to all,No,No,4,,,Room,Yes,,"£2,134.00",Yes,No,Modern 1 Bedroom Close to Station,,https://www.spareroom.co.uk/flatshare/london/woolwich/17919269
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/17/97174785.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97174764.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97174763.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97174762.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97174766.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97174765.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/69/74/69741784.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/DLR_14x11.png","Parking, Garden, Balcony, Bills Included, Furnished",No,Now,now,No,Yes,Yes,Free tocontact,No,692,,,,,,House shareBecktonE6Area infoBeckton StationTube map15-20 minutes walk awayView on map£600 pcmsingleAvailabilityAvailableNowMinimum term12 monthsMaximum termNoneExtra costDeposit£692.30Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYesBalcony/roof terraceNoDisabled acces...,No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/17/97174785.jpg,Furnished,No,Yes,,51.5170527,shared,Beckton,0.0484705,JD Corp Management,,,,12 months,7,,Available to all,No,No,8,600,£600 pcm,Room,Yes,single,,Yes,No,Single Room in large House,2,https://www.spareroom.co.uk/flatshare/london/beckton/17933743
