url,title,agent_name,location,latitude,longitude,status,price,description,property_type,available_date,min_term,max_term,deposit,bills_included,furnishings,parking,garden,broadband,housemates,total_rooms,smoker,pets,occupation,gender,couples_ok,smoking_ok,pets_ok,pref_occupation,references,min_age,max_age,photo_count,first_photo_url,all_photos,photos,paying
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=17889399&search_id=&city_id=&flatshare_type=offered&search_results=%2Fu675357%3Foffset%3D0&,Ensuite Double Room Bills Included Morden,Choices,Morden,51.3896075,-0.2261794,available,950,"ALL BILLS INCLUDED!

A spacious and fully furnished room with a private ensuite bathroom is now available to rent in a well-maintained shared house. The room comes complete with a bed, mattress, and wardrobe, offering a comfortable and convenient living space for a single occupant. The addition of an ensuite provides added privacy and comfort. Ideally located, the property is just a short distance from numerous bus stops, ensuring excellent transport links. Perfect for a working professional or student seeking high-quality accommodation in a well-connected area. Available immediately – early viewing is advised.

Material information:

Rent Amount: £950
Holding Deposit Amount: £219
Security Deposit Amount: £1096
Length of Initial Tenancy: 12 months",Room,Now,12 months,None,"£1,096.00",Yes,Furnished,Yes,Yes,Yes,2,6,No,No,Available to all,2 Males,No,No,No,Available to all,Yes,,,4,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811646.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811646.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811647.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811648.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811650.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811646.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811647.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811648.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811650.jpg""]",
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=17972837&search_id=&city_id=&flatshare_type=offered&search_results=%2Fu675357%3Foffset%3D0&,3 - Bedroom Apartment - Blackwall Way E14,Choices,Blackwall,51.5054784,-0.0062732,available,1033,"Three Double Bedroom, Two Bathroom Apartment- Canary Wharf, E14

**ZERO DEPOSIT OPTION AVAILABLE**

Comprises of an Open Plan Kitchen/ Lounge with a Shared Balcony, One En-Suite, Second Double Room and Main Bathroom.

Great views, next to the River Thames within an Attractive Secure Development!

Benefits include Multiple Balconies.

Only an 8 minute walk to Blackwall DLR Station or a 20 minute walk into Canary Wharf.

Benefits include an UNDERGROUND PARKING SPACE (extra cost) and Lift Access.

EPC rating C

Call Choices to arrange a viewing!

MATERIAL INFORMATION:
Rent Amount: £2895.00 per month
Holding Deposit Amount: £668
Security Deposit Amount (if chosen): £3340.38
Length of Initial Tenancy: 12 months
Council Tax Band E- £1,857.76 per annum",Room,Now,12 months,None,,,Furnished,Yes,No,,,,,,Available to all,,,Yes,No,Available to all,Yes,,,9,https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98248998.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98248998.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249000.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98248999.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249001.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249003.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249004.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249005.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249006.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249013.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98248998.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249000.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98248999.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249001.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249003.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249004.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249005.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249006.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98249013.jpg""]",
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=18073861&search_id=&city_id=&flatshare_type=offered&search_results=%2Fu675357%3Foffset%3D0&,3 - Bedroom Maisonette - The Highway E1W,Choices,London E1W,51.5095164,-0.0533801,available,831,"**Spacious Three-Bedroom Maisonette with Lounge in Wapping – Perfect for Commuters!**

**Rent:** £2,495.00 per month (excluding bills)
**ZERO DEPOSIT OPTION AVAILABLE**

Discover this generous and well-appointed three-bedroom maisonette, ideal for families or professional sharers. Offering plenty of space and convenience, this property features:

- **Three large double bedrooms**
- **Spacious lounge** for relaxing or entertaining
- A **separate, fully-equipped kitchen** with modern appliances
- A handy **utility area**
- A **main bathroom** and an additional **WC**

Enjoy the added privacy of your own **private entrance**.

**Prime Location with Excellent Transport Links**
Located just a 7-minute walk from Shadwell DLR (one stop to Bank) and a 10-minute walk to Wapping Overground Station, this property is ideal for City and Canary Wharf commuters. The vibrant Wapping area offers scenic riverside pubs, charming cafes, local shops, and easy access to Wapping Gardens and historic Tobacco Dock.

**Available in December**

**Property Details:**
- Rent: £2,495.00 permonth
- Holding Deposit: £575.76
- Security Deposit (if chosen): £2878.80
- Initial Tenancy: 12 months
- Council Tax Band: C
- EPC Rating: D

Don’t miss out—contact us today to book your viewing!",Room,Now,12 months,None,,,Furnished,No,No,,,,,,Available to all,,,Yes,No,Available to all,Yes,,,4,https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/33/98338070.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/33/98338070.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/33/98338071.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/33/98338074.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/33/98338075.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/33/98338070.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/33/98338071.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/33/98338074.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/33/98338075.jpg""]",
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=17977430&search_id=&city_id=&flatshare_type=offered&search_results=%2Fu675357%3Foffset%3D0&,Double Room in a 6 Bedroom House Share - SM5,Choices,Carshalton,51.3450619,-0.1738822,available,900,"Located on a quiet residential road in Carshalton, this modern and spacious property offers a large bedroom with a newly refurbished modern ensuite available to let. The house boasts a large shared kitchen and living area.
The room is fully furnished with a bed and wardrobe.

A parking space is available on the driveway at an additional cost—ask for further details. Don’t miss this excellent opportunity!

EPC Rating - D

Material information:

Rent Amount: £900
Holding Deposit Amount: £216
Security Deposit Amount: £1080
Length of Initial Tenancy: 12 months
Council Tax Band: F",Room,Now,12 months,None,"£1,038.45",No,Furnished,No,Yes,No,5,6,No,No,Available to all,"2 Females, 3 Males",No,Yes,No,Available to all,Yes,,,9,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523621.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523621.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523619.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523612.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523614.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523615.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523616.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523617.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523618.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523613.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523621.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523619.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523612.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523614.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523615.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523616.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523617.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523618.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/52/97523613.jpg""]",
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=18062612&search_id=&city_id=&flatshare_type=offered&search_results=%2Fu675357%3Foffset%3D0&,2 - Bedroom Apartment - The Highway E1W,Choices,London E1W,51.5095133,-0.0531929,available,950,"Two Double Bedroom Flat to Rent in Wapping - E1W

**ZERO DEPOSIT OPTION AVAILABLE**

This property comprises open plan kitchen/living area, two double bedrooms and a main bathroom.

Benefits include a small balcony with great views over the Quay!

6 minute walk to Shadwell DLR and 10 minute walk to Wapping Overground station

Available in October. 

EPC Rating = D

Call Choices to arrange a viewing!

MATERIAL INFORMATION:
Rent Amount: £1800.00 per month
Holding Deposit Amount: £415
Security Deposit Amount (if chosen): £2,076.92
Length of Initial Tenancy: 12 months (subject to negotiation)
Council Tax Band: BAND B £102.5 per month",Room,Now,12 months,None,,,Furnished,No,No,,,,,,Available to all,,,Yes,No,Available to all,Yes,,,7,https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242036.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242036.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242037.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242038.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242039.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242040.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242041.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242042.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242036.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242037.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242038.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242039.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242040.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242041.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/24/98242042.jpg""]",
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=17971761&search_id=&city_id=&flatshare_type=offered&search_results=%2Fu675357%3Foffset%3D0&,Room/Studio To Rent With Private En-Suite,Choices,Redhill,51.22990541,-0.16239385,available,1000,"Be the first to move into these brand new, contemporary bedsits designed with comfort and convenience in mind. Each unit features a private en-suite shower room and a compact kitchenette, with fridge & sink unit making it ideal for single occupancy.

Located within walking distance of East Surrey Hospital & Earlswood Train station, this property is perfect for professionals, commuters, Gatwick Airport staff or NHS staff.

Additional amenities include a fully equipped communal kitchen, shared patio space, and a friendly, well-maintained environment.
Council tax & water included. Electricity paid in addition. 
Available immediately.
EPC rating C
Holding deposit £230.76
Security deposit £1153.80",Room,Now,12 months,12 months,"£1,153.00",Yes,Unfurnished,Yes,Yes,Yes,,,,,Available to all,,No,No,No,Available to all,Yes,,,5,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476296.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476296.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476301.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476304.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476309.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476316.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476296.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476301.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476304.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476309.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/47/97476316.jpg""]",
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=17889388&search_id=&city_id=&flatshare_type=offered&search_results=%2Fu675357%3Foffset%3D0&,Room To Rent Morden All Bills Included,Choices,Morden,51.3896075,-0.2261794,available,800,"ALL BILLS INCLUDED!

A spacious and fully furnished room is now available to rent in a well-kept shared house. The room includes a bed, mattress, and wardrobe, offering plenty of space and comfort for a single occupant. The property features a shared bathroom and is conveniently located just a short distance from numerous bus stops, providing excellent transport links. This room is ideal for a working professional or student seeking comfortable and affordable accommodation in a well-connected area. Available immediately – early viewing is highly recommended.

Material information:

Rent Amount: £800
Holding Deposit Amount: £184
Security Deposit Amount: £923
Length of Initial Tenancy: 12 months",Room,Now,12 months,None,£923.00,Yes,Furnished,Yes,Yes,Yes,2,6,No,No,Available to all,2 Males,No,Yes,No,Available to all,Yes,,,4,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811402.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811402.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811404.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811405.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811407.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811402.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811404.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811405.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/81/96811407.jpg""]",
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=18072781&search_id=&city_id=&flatshare_type=offered&search_results=%2Fu675357%3Foffset%3D0&,Double Room In A 4 Bedroom House - E1W,Choices,London E1W,51.5091276,-0.0532526,available,875,"Double Room in a Four Bedroom Flat Share.

Rent is offers in excess of £900 per month excluding bills.

**ZERO DEPOSIT OPTION AVAILABLE**

Located within a 10 minute walk of Wapping & Shadwell Station.

Downstairs comprises of a large lounge with fitted kitchen and breakfast bar, main bathroom and 2 double bedrooms.

Balcony off lounge has great view overlooking the quay.

First Floor comprises of an En-Suite Bedroom and another Double Bedroom.

Fully Furnished. Sorry no couples.

EPC rating D

Call Choices to arrange a viewing!

MATERIAL INFORMATION:
Rent Amount: £875.00 per month
Holding Deposit Amount: £201.00
Security Deposit Amount (if chosen): £1,009.61
Length of Initial Tenancy: 12 months (subject to negotiation)
Council Tax BAND F £2,1945.53 per anum (£46 per room)",Room,30 Dec 2025,12 months,None,"£1,009.00",No,Furnished,No,No,No,,4,No,No,Available to all,3 Males,No,Yes,No,Available to all,Yes,,,9,https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329665.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329665.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329664.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329672.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329673.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329675.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329678.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329677.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329679.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329676.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329665.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329664.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329672.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329673.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329675.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329678.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329677.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329679.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98329676.jpg""]",
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=18074274&search_id=&city_id=&flatshare_type=offered&search_results=%2Fu19432392%3Foffset%3D0&,Two Lovely Rooms/In Willesden Green,Circlelet Ltd,Willesden Green,51.5544297,-0.2337402,available,990,"Hello people!

NEW LETTING PROMOTION – CIRCLELET PROPERTIES

We are happy to rent this lovely rooms in WILLESDEN GREEN

Located in a quite, residential and central area, surrounded by supermarkets, pharmacies, green areas and other amenities 🏙

➖Close by main station 🚈 
➖ bus 🚌
➖ Central London 📍

You will enjoy your private space and the common areas. Bedroom & Kitchen fully furnished.
STUDENTS ALSO WELCOME
FIRST ROOM COUPLE ARE WELCOME £1090

SECOND ROOM SINGLE USE ONLY

💷 Deposit: Half-Month Only
🕐 Min Term: 1 Month

What’s New
•⁠  ⁠Half-Month Deposit only
•⁠  ⁠Bills included for first tenancy
•⁠  ⁠Discounts for longer stays

Rent Breakdown (All Bills Included – First Term)

Longer stay = cheaper rent
•⁠  ⁠2/5 months: –£25 / monthth
•⁠  ⁠6+ months: –£50 / mon

Bills included:
✅Electricity
✅Water
✅Council Tax
✅Internet
✅ Gas

REFERENCES
-3 months last payslips
-3 months bank statements
-previous landlord reference
-right to stay in uk

Don't hesitate to contact me :)

English and italian Speaker

ILENIA",Room,Now,2 months,None,,Yes,Furnished,No,Yes,Yes,,8,No,No,Available to all,"3 Females, 3 Males",Yes,Yes,No,Available to all,Yes,,,14,https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342441.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342441.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342443.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342444.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342476.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342478.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342480.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342477.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342428.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342430.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342431.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342429.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342440.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342435.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342475.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342441.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342443.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342444.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342476.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342478.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342480.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342477.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342428.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342430.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342431.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342429.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342440.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342435.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98342475.jpg""]",
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=18074848&search_id=&city_id=&flatshare_type=offered&search_results=%2Fu19432392%3Foffset%3D0&,⭐️3 Modern And Bright Rooms/In Willesden Green ⭐️,Circlelet Ltd,Willesden Green,51.5573627,-0.2171811,available,820,"Hello people!

NEW LETTING PROMOTION – CIRCLELET PROPERTIES

We are happy to rent this modern and bright rooms in Willesden green

Located in a quite, residential and central area, surrounded by supermarkets, pharmacies, green areas and other amenities 🏙

➖Close by main station 🚈 
➖ bus 🚌
➖ Central London 📍

You will enjoy your private space and the common areas. Bedroom & Kitchen fully furnished.
STUDENTS ALSO WELCOME
SINGLE USE ONLY

💷 Deposit: Half-Month Only
🕐 Min Term: 1 Month

What’s New
• Half-Month Deposit only
• Bills included for first tenancy
• Discounts for longer stays

Rent Breakdown (All Bills Included – First Term)

Longer stay = cheaper rent
• 2/5 months: –£25 / monthth
• 6+ months: –£50 / mon

Bills included:
✅Electricity
✅Water
✅Council Tax
✅Internet
✅ Gas

REFERENCES
-3 months last payslips
-3 months bank statements
-previous landlord reference
-right to stay in uk

DON'T HESITATE TO CONTACT ME :)

ENGLISH AND ITALIAN SPEAKER 

ILENIA",Room,15 Dec 2025,1 month,None,,Yes,Furnished,No,Yes,Yes,7,10,No,No,Available to all,"4 Females, 3 Males",No,Yes,No,Available to all,Yes,,,18,https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347244.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347244.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347246.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347247.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347234.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347235.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347236.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347248.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347249.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347250.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347240.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347238.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347239.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347237.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347243.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347245.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347241.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347251.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347252.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347244.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347246.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347247.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347234.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347235.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347236.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347248.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347249.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347250.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347240.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347238.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347239.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347237.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347243.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347245.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347241.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347251.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/34/98347252.jpg""]",
